Film Name,Year,Duration,Ratings,Number of Rators,Summary,Votes
37. The BFG,2016,1h 57mPG,6.3, (92K),"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.","91,684"
38. War,2019,2h 31mNot Rated,6.5, (31K),"Indian agent Khalid goes on a mission to hunt and eliminate his former mentor, the country's top agent Kabir who has gone rogue. A deadly war begins.","31,306"
39. Gadar 2,2023,2h 50mNot Rated,5.3, (21K),"When Tara Singh goes missing during a skirmish and is believed to be captured in Pakistan, his son Jeete sets out to rescue him and enters a labyrinth from which they both must escape at all costs.","21,027"
40. Gandhi,1982,3h 11mPG,8.0, (238K),The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,"238,267"
41. Sirf Ek Bandaa Kaafi Hai,2023,2h 12m,7.9, (26K),A common man with honesty and integrity can take on the system when he has truth on his side.,"26,210"
42. Yaariyan 2,2023,2h 28m,8.0, (11K),"After moving to Mumbai, three cousins experience difficulties in their romantic relationships.","10,890"
43. Shershaah,2021,2h 15mTV-14,8.3, (127K),"Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999.","127,381"
44. K.G.F: Chapter 2,2022,2h 46mNot Rated,8.3, (145K),"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.","144,811"
45. Ek Tha Tiger,2012,2h 12mNot Rated,5.6, (38K),India's top spy Tiger and his love Zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy.,"37,746"
46. PK,2014,2h 33mNot Rated,8.1, (197K),An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religious views on people.,"197,395"
47. Ghost,2023,2h 12m,7.8, (6.7K),A Group of some people hijacked the jail in the city and demanding the release of ghost or elsewhere all the criminals will be set free.,"6,661"
48. My Name Is Khan,2010,2h 45mPG-13,7.9, (114K),An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,"113,746"
49. The Kerala Story,2023,2h 18m,7.2, (66K),"A converted Muslim woman Fatima Ba narrates her ordeal of how she once wanted to become a nurse but was abducted from her home and manipulated by religious vanguards, turned into an ISIS terrorist and landed in Afghanistan jail.","66,064"
50. Like Stars on Earth,2007,2h 42mPG,8.3, (203K),"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","203,098"
1. Animal,2023,3h 22m,7.4, (25K),"A son's love for his father. Often away due to work the father is unable to comprehend the intensity of his son's love. Ironically, this fervent love and admiration for his father and family creates conflict between the father and son.","25,366"
2. Tiger 3,2023,2h 34m,7.4, (42K),Tiger and Zoya are back - to save the country and their family. This time it's personal.,"42,311"
3. Jawan,2023,2h 49mNot Rated,7.1, (78K),A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.,"78,130"
